statement,label
Sir Charles Parsons invented the fiber optics.,0
George Pullman lived in U.S.,1
Robert Noyce invented the integrated circuit.,1
Michael Faraday invented the electric generator.,1
Spencer Silver lived in U.K.,0
Bette Nesmith Graham lived in U.K.,0
Valdemar Poulsen lived in U.S.,0
Grace Hopper lived in U.S.,1
Galileo Galilei lived in Italy.,1
Igor Tamm lived in Russia.,1
Elisha Otis invented the slide fastener (zipper precursor).,0
Hans Berger lived in U.S.,0
John Boyd Dunlop invented the pneumatic bicycle tire.,1
Maria Telkes lived in Hungary/U.S.,1
John Gorrie lived in U.S.,1
Tim Berners-Lee lived in U.K.,1
Igor Tamm lived in U.S.,0
Linus Torvalds lived in U.S.,0
Sir Sandford Fleming invented the standard time zones.,1
Felix Hoffmann lived in Germany.,1
George Devol invented the Unimate (first industrial robot).,1
Nils Bohlin lived in Sweden.,1
Albert Ghiorso lived in U.S.,1
Charles Strite invented the pop-up toaster.,1
Hans Berger invented the Moog synthesizer.,0
Charles Goodyear invented the bagless vacuum cleaner.,0
Jacob Perkins lived in U.K.,0
Hedy Lamarr lived in Sweden.,0
Laszlo Joseph Biro invented the ballpoint pen.,1
Richard Gatling lived in U.S.,1
Fridtjof Nansen invented the modern polar exploration.,1
Sir Isaac Newton lived in U.K.,1
Elisha Gray invented the safety pin.,0
John Bardeen invented the transistor.,1
Michael Faraday lived in Netherlands.,0
Emile Berliner invented the flying shuttle.,0
Thomas Wedgwood invented the magnetic wire recorder.,0
John Atanasoff invented the maser.,0
Chester Carlson invented the alternating current (AC) electrical system.,0
James Clerk Maxwell lived in U.S.,0
Robert Adler lived in Austria/U.S.,1
Carlos Glidden invented the typewriter.,1
Johannes Gutenberg invented the piano.,0
Ferdinand von Zeppelin invented the programming language (theoretical).,0
Chester Carlson invented the xerography.,1
Frank Bunker Gilbreth invented the flying shuttle.,0
Sergey Brin and Larry Page lived in U.S.,1
Wallace Carothers invented the nylon.,1
Henry Ford invented the laser.,0
Ferdinand von Zeppelin lived in U.K.,0
Yoshua Bengio invented the deep learning (artificial neural networks).,1
Hans Lippershey lived in U.S.,0
Reginald Fessenden invented the teleprinter.,0
Marie Curie invented the Linux operating system.,0
Alva J. Fisher invented the electric washing machine.,1
Joseph-Armand Bombardier lived in Canada.,1
Gordon Gould invented the laser.,1
Gustaf DalÃ©n lived in Sweden.,1
Henri Giffard lived in Germany.,0
David Schwarz invented the agricultural innovations.,0
Edmund Cartwright invented the electroencephalography (EEG).,0
Joseph Marie Jacquard lived in Russia.,0
Grace Hopper lived in U.K.,0
Levi Strauss invented the electromagnetic relay.,0
Gottlieb Daimler lived in Germany.,1
Joseph Swan lived in U.K.,1
John Ambrose Fleming lived in U.K.,1
Bartolomeo Cristofori lived in U.S.,0
Clarence Birdseye lived in U.S.,1
Hans Goldschmidt invented the Wheatstone bridge.,0
Thomas Wedgwood lived in Denmark.,0
Mary Phelps Jacob lived in U.K.,0
Mary Walton lived in U.S.,1
Ernest Swinton invented the pop-up toaster.,0
Benjamin Holt invented the caterpillar track.,1
Paul Gottlieb Nipkow lived in U.S.,0
Gustaf DalÃ©n lived in U.K.,0
Candace Pert lived in U.K.,0
Karl Landsteiner invented the high-pressure steam engine.,0
Shinya Yamanaka invented the frameless parachute.,0
Joseph Swan invented the diesel engine.,0
Walter Hunt invented the traffic signal.,0
Arthur Pitney invented the assembly line production.,0
Carl Elsener lived in Netherlands.,0
Christian Huygens invented the vacuum tube diode.,0
Thomas Edison lived in U.S.,1
Thomas Edison invented the DNA fingerprinting.,0
Ruth Benerito lived in U.S.,1
Jacob Perkins invented the Christmas card.,0
Josephine Cochrane invented the revolver.,0
Clyde Tombaugh lived in U.S.,1
Yoshiro Nakamatsu invented the Bessemer process for steelmaking.,0
Joseph Engelberger invented the industrial robot.,1
Herbert Akroyd Stuart lived in England.,1
James Murray Spangler invented the portable vacuum cleaner.,1
Philo Taylor Farnsworth lived in U.S.,1
Rudolf KÃ¡lmÃ¡n invented the Kalman filter.,1
Orville and Wilbur Wright lived in U.S.,1
Luther Simjian lived in Turkey/U.S.,1
James Watt lived in Scotland.,1
Chester Carlson lived in Austrian Empire (modern-day Croatia)/U.S.,0
David Edward Hughes invented the microphone (carbon).,1
Elihu Thomson invented the Gatling gun.,0
Orville and Wilbur Wright invented the postage meter.,0
Ernest Swinton lived in U.S.,0
Philipp Reis invented the Kalman filter.,0
Joseph Swan lived in Germany.,0
Wilhelm Conrad RÃ¶ntgen lived in U.S.,0
Narinder Singh Kapany invented the fiber optics.,1
Fritz Pfleumer lived in Germany.,1
Frederick G. Creed invented the teleprinter.,1
Florence Parpart invented the modern electric refrigerator.,1
Otis Boykin invented the improved electrical resistor.,1
Bartolomeo Cristofori lived in Italy.,1
Michael Faraday lived in U.K.,1
Joseph Aspdin lived in U.K.,1
Grace Hopper invented the penicillin discovery.,0
Ferdinand von Zeppelin lived in Germany.,1
Sir Humphry Davy lived in U.K.,1
Shinya Yamanaka lived in Japan.,1
Earle Dickson invented the portable vacuum cleaner.,0
Nikola Tesla invented the alternating current (AC) electrical system.,1
Karl Benz invented the gasoline-powered automobile.,1
Archimedes lived in France.,0
Godfrey Hounsfield lived in Italy.,0
Guglielmo Marconi lived in Italy.,1
Herbert Saffir lived in U.S.,1
Ami Argand invented the Argand lamp.,1
Semyon Kirlian invented the nylon.,0
Heinrich Hertz lived in U.S.,0
Garrett Morgan lived in U.S.,1
Archimedes lived in Ancient Greece.,1
Charles Francis Richter invented the Richter scale.,1
Charles Strite lived in U.S.,1
Charles Cros invented the phonograph (independent inventor).,1
Florence Parpart lived in U.S.,1
Sir Charles Parsons lived in India.,0
Marvin Camras invented the magnetic recording.,1
Thomas Savery lived in Austrian Empire (modern-day Croatia)/U.S.,0
Fridtjof Nansen lived in Norway.,1
Eugene Polley lived in U.S.,1
Heinrich GÃ¶bel lived in Canada.,0
Frederick G. Creed invented the first home video game console.,0
Carl Wilhelm Siemens lived in U.K.,0
Thomas Savery invented the early steam engine.,1
Valdemar Poulsen lived in Denmark.,1
Robert Chesebrough lived in U.S.,1
Ferdinand CarrÃ© invented the refrigeration (absorption process).,1
Hans Goldschmidt lived in U.K.,0
Eli Whitney lived in U.S.,1
Gottlieb Daimler lived in Japan.,0
Semyon Kirlian lived in U.S.,0
David Edward Hughes lived in U.S.,1
Fritz Pfleumer invented the magnetic tape.,1
Zhores Alferov lived in Russia.,1
Giovanni Caselli invented the canning process.,0
Samuel Colt invented the revolver.,1
Elisha Gray lived in U.S.,1
Jack Kilby invented the integrated circuit.,1
Tim Berners-Lee lived in U.S.,0
Galileo Galilei invented the improved telescope.,1
Maria Telkes lived in Austria/U.S.,0
Willem Einthoven lived in Netherlands.,1
Alva J. Fisher lived in U.S.,1
Andr-Jacques Garnerin lived in France.,1
John T. Parsons invented the Saffir-Simpson Hurricane Scale.,0
R. Buckminster Fuller invented the geodesic dome.,1
Zhores Alferov invented the integrated circuit.,0
Robert Adler lived in U.S.,0
John Logie Baird lived in U.S.,0
James Starley invented the Hall effect.,0
John Wesley Hyatt lived in U.S.,1
Yvonne Brill invented the stored-program computer architecture.,0
Charles Tellier invented the liquefied gas refrigeration.,1
Karl Landsteiner invented the blood types.,1
Tim Berners-Lee invented the revolver.,0
Thomas Wedgwood lived in U.K.,1
BirutÃ© Galdikas invented the floppy disk.,0
Edouard Benedictus invented the modern chemical nomenclature.,0
Samuel Fox invented the heterotransistor.,0
Benjamin Franklin lived in U.K.,0
Charles Francis Richter lived in U.S.,1
Alva J. Fisher lived in Austria/U.S.,0
Kwolek invented the Kevlar.,1
Hippolyte MÃ¨ge-MouriÃ¨s invented the margarine.,1
John Logie Baird lived in Scotland.,1
Hippolyte MÃ¨ge-MouriÃ¨s lived in U.K.,0
Alec Jeffreys invented the DNA fingerprinting.,1
Linus Torvalds lived in Finland.,1
John Walker lived in U.K.,1
Jean-Bernard-LÃ©on Foucault invented the trackball.,0
Heinrich Hertz invented the Moog synthesizer.,0
Narinder Singh Kapany lived in U.K.,0
Herbert Akroyd Stuart lived in U.S.,0
Felix Hoffmann invented the tank.,0
Georges Claude invented the neon lighting.,1
Alessandro Volta invented the electric battery.,1
Nikola Tesla invented the rigid airship (Zeppelin).,0
Hippolyte MÃ¨ge-MouriÃ¨s invented the World Wide Web.,0
Alan Turing invented the Turing machine (theoretical).,1
Percy Spencer lived in U.S.,1
George Devol lived in U.S.,1
Hans Berger invented the electroencephalography (EEG).,1
Alexander Graham Bell invented the frequency hopping spread spectrum.,0
John Ericsson lived in Netherlands.,0
Shinya Yamanaka invented the induced pluripotent stem cells.,1
Bartolomeo Cristofori invented the Morse code.,0
Hippolyte MÃ¨ge-MouriÃ¨s lived in France.,1
Samuel Fox lived in U.K.,1
Benjamin Holt invented the electret microphone.,0
Philo Farnsworth invented the electronic television.,1
Sergey Brin and Larry Page lived in France.,0
Henry Bessemer invented the Bessemer process for steelmaking.,1
John T. Parsons lived in U.S.,1
John Harrison lived in U.K.,1
Ralph Benjamin invented the compression refrigeration.,0
Whitcomb Judson lived in U.S.,1
John Callcott Horsley invented the Christmas card.,1
Hans Geiger invented the Geiger counter.,1
Josephine Cochrane invented the automatic dishwasher.,1
Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1
Pierre Curie invented the solar thermal storage system.,0
John von Neumann lived in Hungary/U.S.,1
Carl Elsener lived in Switzerland.,1
Mary Phelps Jacob invented the bagless vacuum cleaner.,0
Walter Hunt lived in U.S.,1
Frederick McKinley Jones lived in Germany.,0
Konrad Zuse invented the Unimate (first industrial robot).,0
Percy Spencer invented the microwave oven.,1
George Washington Carver invented the Phonautograph.,0
Ami Argand invented the AGA lighthouse.,0
Sir Charles Parsons lived in U.K.,1
Whitcomb Judson invented the nylon.,0
Jean-Bernard-LÃ©on Foucault lived in France.,1
Christopher Cockerell lived in U.K.,1
Luther George Simjian lived in Germany.,0
Igor Sikorsky lived in Ukraine/U.S.,1
Lester Wire lived in France.,0
ÃScott de Martinville invented the Phonautograph.,1
Philo Taylor Farnsworth invented the electron scanning tube (Image dissector).,1
Blaise Pascal invented the first home video game console.,0
Hans Berger lived in Germany.,1
Joseph Marie Jacquard invented the Jacquard loom.,1
R. Buckminster Fuller invented the orangutan conservation.,0
John Boyd Dunlop lived in Scotland.,1
Auguste and Louis LumiÃ¨re lived in France.,1
George de Mestral invented the velcro.,1
James Starley lived in U.K.,1
Yoshiro Nakamatsu lived in U.K.,0
Charles Francis Jenkins invented the modern chemical nomenclature.,0
Konrad Zuse lived in U.S.,0
Daisuke Inoue lived in U.S.,0
Robert Moog lived in U.S.,1
Igor Sikorsky invented the marine chronometer.,0
David Edward Hughes invented the Morse code.,0
Nils Bohlin invented the programming language (theoretical).,0
Hans Oersted invented the Automated Teller Machine (ATM).,0
Alec Jeffreys lived in U.K.,1
Nikola Tesla lived in Germany.,0
Daniel Fahrenheit lived in Poland/Germany.,1
Herbert Akroyd Stuart invented the integrated circuit.,0
Ferdinand CarrÃ© lived in France.,1
William Congreve lived in U.K.,1
Narinder Singh Kapany invented the waterproof fabric.,0
Nicolas Appert invented the canning process.,1
Carl Wilhelm Siemens lived in Germany.,1
Godfrey Hounsfield invented the computed tomography (CT) scanner.,1
Clarence Birdseye invented the internet protocol suite.,0
Robert Adler invented the ultrasonic remote control.,1
Karl Landsteiner lived in Austria.,1
George Cayley lived in U.K.,1
Ralph Benjamin lived in U.S.,0
Mary Walton invented the Linux operating system.,0
John Wesley Hyatt lived in Scotland.,0
Kwolek invented the zipper.,0
August Horch lived in Germany.,1
Richard Leach Maddox invented the analytical engine (mechanical computer).,0
Ada Lovelace invented the programming language (theoretical).,1
James Clerk Maxwell invented the food processor.,0
Sir Frank Whittle invented the Kevlar.,0
Louis Pasteur lived in Sweden/U.S.,0
William Congreve invented the photogram (proto-photography).,0
Leonardo da Vinci lived in Italy.,1
Dr. Robert Gallo invented the co-discovery of HIV.,1
Edwin Link lived in U.K.,0
Zhores Alferov lived in U.S.,0
Hans Oersted lived in Turkey/U.S.,0
John Kay lived in U.K.,1
Ada Lovelace lived in U.K.,1
Lloyd Groff Copeman invented the electric stove.,1
Georges Claude lived in France.,1
Luther Simjian invented the Bankograph (early ATM).,1
Stephanie Kwolek lived in U.S.,1
Nikolay Slavyanov lived in U.S.,0
George Antheil lived in Stephanie.,0
John Walker lived in France.,0
James Dyson lived in U.S.,0
Charles Cros lived in U.S.,0
Joseph Marie Jacquard invented the Kirlian photography.,0
Thomas Edison lived in U.K.,0
Bette Nesmith Graham invented the Liquid Paper.,1
Marvin Camras invented the discovery of opiate receptor.,0
John T. Parsons invented the numerical control (CNC).,1
Igor Tamm invented the electric stove.,0
Andr-Jacques Garnerin invented the Band-Aid.,0
Pierre Curie invented the piezoelectricity.,1
William Sturgeon lived in U.K.,1
R. Buckminster Fuller lived in U.S.,1
Fridtjof Nansen lived in U.S.,0
Philo Taylor Farnsworth invented the airship (non-rigid).,0
Sir Humphry Davy invented the programming language (theoretical).,0
Edwin H. Land lived in U.S.,1
Ignazio Porro invented the Porro prism.,1
Luther George Simjian invented the Automated Teller Machine (ATM).,1
August Horch invented the frequency hopping spread spectrum.,0
Willem Einthoven invented the electrocardiograph (ECG).,1
Elihu Thomson lived in U.S.,1
Eugene Polley invented the wireless remote control.,1
Grace Hopper invented the COBOL programming language.,1
Frederick G. Creed lived in U.S.,0
Candace Pert invented the discovery of opiate receptor.,1
Orville and Wilbur Wright invented the airplane.,1
Rudolf Diesel lived in U.S.,0
Joseph Swan invented the carbon-filament lamp.,1
Gideon Sundback lived in Germany.,0
George Washington Carver lived in U.S.,1
Hans Lippershey lived in Netherlands.,1
Hans von Ohain lived in Poland/France.,0
Elisha Otis invented the safety elevator.,1
Candace Pert lived in U.S.,1
George Eastman lived in Canada.,0
George Pullman invented the Pullman railroad sleeping car.,1
Jack Kilby lived in U.S.,1
Valdemar Poulsen invented the Richter scale.,0
Dr. Robert Gallo invented the dynamite.,0
Rudolf KÃ¡lmÃ¡n lived in Hungary.,1
Christopher Cockerell invented the hovercraft.,1
Robert Chesebrough invented the Vaseline.,1
John Ericsson lived in Sweden.,1
Herbert Akroyd Stuart invented the hot bulb engine.,1
Alexander Fleming lived in U.K.,1
Ralph Benjamin lived in U.K.,1
John Callcott Horsley lived in U.K.,1
Alexander Fleming invented the Post-it notes.,0
Daniel Fahrenheit invented the theremin.,0
Thomas Savery invented the alternating current (AC) electrical system.,0
Henri Giffard lived in France.,1
Alva J. Fisher invented the frequency hopping spread spectrum.,0
Joseph Henry lived in U.S.,1
Herbert Saffir invented the Saffir-Simpson Hurricane Scale.,1
Joseph Marie Jacquard lived in France.,1
Hans Geiger lived in U.K.,0
James Dyson invented the food processor.,0
Richard Trevithick invented the high-pressure steam engine.,1
John Harrison invented the safety lamp.,0
Ferdinand CarrÃ© invented the shielded metal arc welding.,0
Joseph Glidden invented the mechanical calculator.,0
George Antheil invented the piano roll (used in player pianos).,1
Edmund Cartwright invented the power loom.,1
Alec Jeffreys invented the molecular laser.,0
Joseph Henry invented the nylon.,0
Joseph Engelberger lived in Japan.,0
Ruth Benerito lived in Italy.,0
Johannes Gutenberg lived in Italy.,0
Ernest Swinton invented the tank.,1
Frederick Walton lived in Germany.,0
Frank Julian Sprague invented the magnetic recording.,0
Charles Francis Richter lived in U.K.,0
ÃScott de Martinville lived in U.S.,0
Sir Isaac Newton lived in France.,0
Joseph Bramah lived in U.K.,1
Charles Macintosh lived in U.S.,0
John Kay invented the flying shuttle.,1
Alessandro Volta lived in Russia.,0
Emile Berliner lived in U.K.,0
Linus Torvalds invented the integrated circuit.,0
Antoine Lavoisier invented the Kirlian photography.,0
Eli Whitney lived in Germany.,0
James West lived in U.S.,1
Charles Wheatstone invented the agricultural innovations.,0
Philipp Reis invented the early telephone prototype.,1
Florence Parpart invented the flight simulator (Link Trainer).,0
Edouard Benedictus invented the safety glass.,1
David Schwarz lived in Croatia.,1
Rudolf KÃ¡lmÃ¡n invented the World Wide Web.,0
Luther George Simjian lived in Turkey/U.S.,1
Sir Isaac Newton invented the neon lighting.,0
Charles Cros invented the wrinkle-resistant fabric.,0
Otis Boykin invented the piano roll (used in player pianos).,0
David Schwarz invented the rigid airship.,1
Hans Geiger lived in Germany.,1
Joseph Bramah invented the velcro.,0
Richard Gatling lived in Italy.,0
Lloyd Groff Copeman lived in U.S.,1
Alexander Graham Bell lived in Scotland/Canada/U.S.,1
Stephanie Kwolek invented the Kevlar.,1
Pierre Curie lived in Hungary/U.S.,0
Bartolomeo Cristofori invented the piano.,1
Johannes Gutenberg invented the movable type printing press.,1
Daniel Fahrenheit lived in Russia.,0
Alexander Graham Bell invented the telephone.,1
Rudolf Diesel invented the diesel engine.,1
Marie Curie lived in Finland.,0
Alan Turing invented the tank.,0
Willis Carrier lived in U.S.,1
Hedy Lamarr invented the frequency hopping spread spectrum.,1
Gideon Sundback invented the aspirin synthesis.,0
Sir Frank Whittle invented the jet engine.,1
Guglielmo Marconi invented the radio.,1
Ernesto Blanco invented the cotton gin.,0
Joseph Aspdin invented the Bankograph (early ATM).,0
Levi Strauss lived in U.S.,1
Charles Fritts lived in U.S.,1
Andr-Jacques Garnerin lived in U.S.,0
Arthur Pitney lived in U.S.,1
Daisuke Inoue invented the karaoke machine.,1
James West invented the airplane.,0
John Callcott Horsley invented the maser.,0
August Horch lived in Austria/U.S.,0
Blaise Pascal lived in France.,1
Edouard Benedictus lived in France.,1
James Murray Spangler lived in U.S.,1
Arthur Fry invented the hot bulb engine.,0
Charles Tellier lived in France.,1
Guglielmo Marconi lived in U.S.,0
Antoine Lavoisier lived in Russia.,0
Reginald Fessenden lived in Canada.,0
Alexander Graham Bell lived in Austria/U.S.,0
Eli Whitney invented the electromagnetic waves discovery.,0
Eugene Polley lived in U.K.,0
Charles Fritts invented the solar cell.,1
Benjamin Rubin lived in U.S.,1
Philipp Reis lived in Germany.,1
Charles Tellier lived in U.S.,0
Felix Hoffmann lived in U.K.,0
Sergey Brin and Larry Page invented the neon lighting.,0
